Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
3.4  1.55  18.78575  18.10786  16.67946  18.34658  16.57012  4.218865  0.8198655  -0.2318164  -0.008673095  -0.110886  5.778844  
3.45  1.575  18.71395  18.05081  16.58313  18.31182  16.48527  4.15835  0.8173292  -0.2330361  -0.01453435  -0.1103445  5.735109  
3.5  1.6  18.64087  17.99573  16.48595  18.2809  16.39943  4.098132  0.8142822  -0.2337698  -0.02000688  -0.1101858  5.691693  
7.5  2.5  18.57  18.1882  13.4461  18.9666  15.1173  5.1834  0.8522  -0.85  -0.1855  -1.0  8.0  
12.0  3.5  17.027  17.8172  9.2975  15.8399  15.3296  4.1982  0.602  -1.1  -0.5805  -2.2254  10.3234  
20.396  5.4  14.97  15.4193  3.0752  14.7189  15.1403  3.7528  -0.3912  -1.1  -1.9752  -1.7103  9.4104  
65.196  15.0  4.0  -10.8  -21.64  -7.708  5.5  5.021  -3.13  -5.027  -4.272  -7.831  17.334  
143.596  15.0  4.9929  -6.0588  -14.918  -5.5056  6.6794  8.0716  -2.6563  -4.6587  -4.7478  -8.899  21.0  
580.0  15.0  1.1808  -12.585  -24.292  -12.045  2.6705  4.0148  -2.0267  -5.5744  -4.7935  -7.7114  15.76  
660.0  15.0  1.0024  -12.885  -24.456  -12.3  2.5892  3.8884  -2.0155  -5.5539  -4.8345  -7.6771  15.622  
6600.0  15.0  2.4574  -11.885  -21.646  -10.077  2.5264  4.5547  -2.0821  -5.2758  -4.3947  -8.1489  17.555  
