  ktime t_bar 14
  9.8750E-01  9.1629E-01
  1.0000E+00  9.2612E-01
  1.0125E+00  9.3480E-01
  1.0250E+00  9.4246E-01
  1.0375E+00  9.4923E-01
  1.0500E+00  9.5519E-01
  1.0625E+00  9.6046E-01
  1.0750E+00  9.6510E-01
  1.0875E+00  9.6920E-01
  1.1000E+00  9.7282E-01
  1.1125E+00  9.7602E-01
  1.1250E+00  9.7883E-01
  1.1375E+00  9.8132E-01
  1.1500E+00  9.8352E-01
  1.1625E+00  9.8545E-01
  1.1750E+00  9.8716E-01
  1.1875E+00  9.8867E-01
  1.2000E+00  9.9000E-01
  1.2125E+00  9.9118E-01
  1.2250E+00  9.9221E-01
  1.2375E+00  9.9313E-01
  1.2500E+00  9.9394E-01
  1.2625E+00  9.9465E-01
  1.2750E+00  9.9528E-01
  1.2875E+00  9.9583E-01
  1.3000E+00  9.9632E-01
  1.3125E+00  9.9675E-01
  1.3250E+00  9.9714E-01
  1.3375E+00  9.9747E-01
  1.3500E+00  9.9777E-01
  1.3625E+00  9.9803E-01
  1.3750E+00  9.9826E-01
  1.3875E+00  9.9847E-01
  1.4000E+00  9.9865E-01
  1.4125E+00  9.9881E-01
  1.4250E+00  9.9895E-01
  1.4375E+00  9.9907E-01
  1.4500E+00  9.9918E-01
  1.4625E+00  9.9928E-01
  1.4750E+00  9.9936E-01
  1.4875E+00  9.9944E-01
  1.5000E+00  9.9950E-01
